
plate-229, 2024-09-09T18:10:05.372494919Z, 2024-09-09T18:10:08.396045173Z, 3.023550254s
plate-76, 2024-09-09T18:10:06.376365804Z, 2024-09-09T18:10:10.402559547Z, 4.026193743s
plate-982, 2024-09-09T18:10:13.388466978Z, 2024-09-09T18:10:14.416837575Z, 1.028370597s
plate-622, 2024-09-09T18:10:17.394554721Z, 2024-09-09T18:10:17.424762326Z, 30.207605ms
plate-513, 2024-09-09T18:10:10.382602808Z, 2024-09-09T18:10:18.432805985Z, 8.050203177s
plate-924, 2024-09-09T18:10:19.400363721Z, 2024-09-09T18:10:22.445755031Z, 3.04539131s
plate-940, 2024-09-09T18:10:24.68326461Z, 2024-09-09T18:10:25.519201526Z, 835.936916ms
plate-421, 2024-09-09T18:10:23.407226826Z, 2024-09-09T18:10:26.544041329Z, 3.136814503s
plate-838, 2024-09-09T18:10:29.380362527Z, 2024-09-09T18:10:30.554948479Z, 1.174585952s
plate-595, 2024-09-09T18:10:32.390470965Z, 2024-09-09T18:10:34.567394265Z, 2.1769233s
plate-803, 2024-09-09T18:10:35.397220082Z, 2024-09-09T18:10:35.575110472Z, 177.89039ms
plate-612, 2024-09-09T18:10:38.407282289Z, 2024-09-09T18:10:38.583113649Z, 175.83136ms
plate-950, 2024-09-09T18:10:41.412320709Z, 2024-09-09T18:10:41.588573907Z, 176.253198ms
plate-992, 2024-09-09T18:10:32.385507924Z, 2024-09-09T18:10:42.598386637Z, 10.212878713s
plate-250, 2024-09-09T18:10:45.424272251Z, 2024-09-09T18:10:45.606608267Z, 182.336016ms
plate-204, 2024-09-09T18:10:35.400822871Z, 2024-09-09T18:10:45.614770817Z, 10.213947946s
plate-813, 2024-09-09T18:10:43.417596593Z, 2024-09-09T18:10:48.788253576Z, 5.370656983s
plate-950, 2024-09-09T18:10:41.412320709Z, 2024-09-09T18:10:49.961016714Z, 8.548696005s
plate-454, 2024-09-09T18:10:48.433098361Z, 2024-09-09T18:10:53.975978611Z, 5.54288025s
plate-88, 2024-09-09T18:10:52.446284394Z, 2024-09-09T18:10:55.004048219Z, 2.557763825s
plate-388, 2024-09-09T18:10:48.429311757Z, 2024-09-09T18:10:55.015599924Z, 6.586288167s
plate-809, 2024-09-09T18:10:49.437560465Z, 2024-09-09T18:10:57.116591676Z, 7.679031211s
plate-5, 2024-09-09T18:10:55.452543831Z, 2024-09-09T18:10:58.127337236Z, 2.674793405s
plate-619, 2024-09-09T18:10:58.497117299Z, 2024-09-09T18:11:00.13435763Z, 1.637240331s
